web-scraper-order,web-scraper-start-url,page,page-href,title,author_name,date
1614669956-999,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,"Generation One
        (Lorien Legacies Reborn, #1)","Lore, Pittacus","Jun 22, 2020"
1614669963-1013,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Origins: Fourteen Billion Years of Cosmic Evolution,"Tyson, Neil deGrasse","Jan 13, 2020"
1614669981-1076,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,Nomad,"Anderson, R.J.","Sep 24, 2018"
1614669981-1067,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"The Selection
        (The Selection, #1)","Cass, Kiera",Dec-18
1614669975-1062,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,Zero Waste Home: The Ultimate Guide to Simplifying Your Life by Reducing Your Waste,"Johnson, Bea","Jan 05, 2019"
1614669975-1063,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,Junkyard Planet: Travels in the Billion-Dollar Trash Trade,"Minter, Adam","Dec 19, 2018"
1614669986-1090,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,"Harry Potter and the Goblet of Fire
        (Harry Potter, #4)","Rowling, J.K.",null
1614669970-1030,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store","Flanders, Cait","Oct 12, 2019"
1614669990-1112,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=7&per_page=20&shelf=read&utf8=%E2%9C%93,"The Atlantis Complex
        (Artemis Fowl #7)","Colfer, Eoin",null
1614669986-1096,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,"Harry Potter and the Chamber of Secrets
        (Harry Potter, #2)","Rowling, J.K.",null
1614669956-991,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,An American Marriage,"Jones, Tayari","Nov 23, 2020"
1614669970-1042,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,"Bright Star: Beatrice Hill Tinsley, Astronomer","Catley, Christine Cole","Jun 12, 2019"
1614669975-1056,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,"The Future of the Mind: The Scientific Quest to Understand, Enhance, and Empower the Mind","Kaku, Michio","Feb 10, 2019"
1614669956-1004,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,A Family Guide to Waste-free Living,"Carter, Lauren","Mar 13, 2020"
1614669986-1088,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,Dewey: The Small-Town Library Cat Who Touched the World,"Myron, Vicki",null
1614669981-1081,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"The Beauty of Darkness
        (The Remnant Chronicles, #3)","Pearson, Mary E.","Jun 08, 2018"
1614669963-1009,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Two People & a Place: The Family Who Lived in Sydney Observatory,"Russell, Roslyn","Feb 05, 2020"
1614669970-1028,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,"Love, Life, and Elephants: An African Love Story","Sheldrick, Daphne","Oct 29, 2019"
1614669956-992,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,"Avatar: The Last Airbender: Katara and the Pirate's Silver
        (Avatar: The Last Airbender, #0.5)","Hicks, Faith Erin","Nov 19, 2020"
1614669956-994,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,Matariki: the star of the year,"Matamua, Rangi","Oct 28, 2020"
